# Lange Beschreibungen der GS1 Application Identifier
# Quelle: https://ref.gs1.org/ai/GS1_Application_Identifiers.jsonld (Version 1.2, geaendert 2026-01-26)
# Erzeugt von der Gradle-Task downloadGs1Sources – nicht von Hand bearbeiten.
3330-3335	Depth, thickness, height, or third dimension, metres
3340-3345	Area, square metres
3350-3355	Logistic volume, litres
3360-3365	Logistic volume, cubic metres
3370-3375	Kilograms per square metre
3400-3405	Logistic weight, pounds
3410-3415	Length or first dimension, inches
3420-3425	Length or first dimension, feet
3430-3435	Length or first dimension, yards
3440-3445	Width, diameter, or second dimension, inches
3450-3455	Width, diameter, or second dimension, feet
3460-3465	Width, diameter, or second dimension, yard
3470-3475	Depth, thickness, height, or third dimension, inches
3480-3485	Depth, thickness, height, or third dimension, feet
3490-3495	Depth, thickness, height, or third dimension, yards
3500-3505	Area, square inches (variable measure trade item)
3510-3515	Area, square feet (variable measure trade item)
3520-3525	Area, square yards (variable measure trade item)
3530-3535	Area, square inches
3540-3545	Area, square feet
3550-3555	Area, square yards
3560-3565	Net weight, troy ounces (variable measure trade item)
3570-3575	Net weight (or volume), ounces (variable measure trade item)
3600-3605	Net volume, quarts (variable measure trade item)
3610-3615	Net volume, gallons U.S. (variable measure trade item)
3620-3625	Logistic volume, quarts
3630-3635	Logistic volume, gallons U.S.
3640-3645	Net volume, cubic inches (variable measure trade item)
3650-3655	Net volume, cubic feet (variable measure trade item)
3660-3665	Net volume, cubic yards (variable measure trade item)
3670-3675	Logistic volume, cubic inches
3680-3685	Logistic volume, cubic feet
3690-3695	Logistic volume, cubic yards
37	Count of trade items or trade item pieces contained in a logistic unit
3900-3909	Applicable amount payable or Coupon value, local currency
3910-3919	Applicable amount payable with ISO currency code
3920-3929	Applicable amount payable, single monetary area (variable measure trade item)
3930-3939	Applicable amount payable with ISO currency code (variable measure trade item)
3940-3943	Percentage discount of a coupon
3950-3955	Amount Payable per unit of measure single monetary area (variable measure trade item)
400	Customers purchase order number
401	Global Identification Number for Consignment (GINC)
402	Global Shipment Identification Number (GSIN)
403	Routing code
410	Ship to / Deliver to Global Location Number (GLN)
411	Bill to / Invoice to Global Location Number (GLN)
412	Purchased from Global Location Number (GLN)
413	Ship for / Deliver for - Forward to Global Location Number (GLN)
414	Identification of a physical location - Global Location Number (GLN)
415	Global Location Number (GLN) of the invoicing party
416	Global Location Number (GLN) of the production or service location
417	Party Global Location Number (GLN)
420	Ship to / Deliver to postal code within a single postal authority
421	Ship to / Deliver to postal code with ISO country code
422	Country of origin of a trade item
423	Country of initial processing
424	Country of processing
425	Country of disassembly
426	Country covering full process chain
427	Country subdivision Of origin
4300	Ship-to / Deliver-to company name
4301	Ship-to / Deliver-to contact
4302	Ship-to / Deliver-to address line 1
4303	Ship-to / Deliver-to address line 2
4304	Ship-to / Deliver-to suburb
4305	Ship-to / Deliver-to locality
4306	Ship-to / Deliver-to region
4307	Ship-to / Deliver-to country code
4308	Ship-to / Deliver-to telephone number
4309	Ship-to / Deliver-to GEO location
4310	Return-to company name
4311	Return-to contact
4312	Return-to address line 1
4313	Return-to address line 2
4314	Return-to suburb
4315	Return-to locality
4316	Return-to region
4317	Return-to country code
4318	Return-to postal code
4319	Return-to telephone number
4320	Service code description
4321	Dangerous goods flag
4322	Authority to leave
4323	Signature required flag
4324	Not before delivery date time (YYMMDDhhmm)
4325	Not after delivery date time (YYMMDDhhmm)
4326	Release date (YYMMDD)
4330	Maximum temperature in Fahrenheit (expressed in hundredths of degrees)
4331	Maximum temperature in Celsius (expressed in hundredths of degrees)
4332	Minimum temperature in Fahrenheit (expressed in hundredths of degrees)
4333	Minimum temperature in Celsius (expressed in hundredths of degrees)
7001	NATO Stock Number (NSN)
7002	UN/ECE meat carcasses and cuts classification
7003	Expiration date and time (YYMMDDhhmm)
7004	Active potency
7005	Catch area
7006	First freeze date (YYMMDD)
7007	Harvest date (YYMMDD[YYMMDD])
7008	Species for fishery purposes
7009	Fishing gear type
7010	Production method
7011	Test by date (YYMMDD[hhmm])
7020	Refurbishment lot ID
7021	Functional status
7022	Revision status
7023	Global Individual Asset Identifier (GIAI) of an assembly
7030-7039	Number of processor with three-digit ISO country code
7040	GS1 UIC with Extension 1 and Importer index
7041	UN/CEFACT freight unit type
710	National Healthcare Reimbursement Number (NHRN) - Germany PZN
711	National Healthcare Reimbursement Number (NHRN) - France CIP
712	National Healthcare Reimbursement Number (NHRN) - Spain CN
713	National Healthcare Reimbursement Number (NHRN) - Brasil DRN
714	National Healthcare Reimbursement Number (NHRN) - Portugal AIM
715	National Healthcare Reimbursement Number (NHRN) - United States of America NDC
716	National Healthcare Reimbursement Number (NHRN) - Italy AIC
717	National Healthcare Reimbursement Number (NHRN) - Costa Rica Sanitary Register Number
7230-7239	Certification Reference
7240	Protocol ID
7241	AIDC media type
7242	Version Control Number (VCN)
7250	Date of birth (YYYYMMDD)
7251	Date and time of birth (YYYYMMDDhhmm)
7252	Biological sex
7253	Family name of person
7254	Given name of person
7255	Name suffix of person
7256	Full name of person
7257	Address of person
7258	Baby birth sequence
7259	Baby of family name
8001	Roll products (width, length, core diameter, direction, splices)
8002	Cellular mobile telephone identifier
8003	Global Returnable Asset Identifier (GRAI)
8004	Global Individual Asset Identifier (GIAI)
8005	Price per unit of measure
8006	Identification of an individual trade item piece (ITIP)
8007	International Bank Account Number (IBAN)
8008	Date and time of production (YYMMDDhh[mm[ss]])
8009	Optically Readable Sensor Indicator
8010	Component/Part Identifier (CPID)
8011	Component/Part Identifier serial number (CPID SERIAL)
8012	Software version
8013	Global Model Number (GMN)
8014	Highly Individualised Device Registration Identifier (HIDRI)
8017	Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the provider of services
8018	Global Service Relation Number (GSRN) to identify the relationship between an organisation offering services and the recipient of services
8019	Service Relation Instance Number (SRIN)
8020	Payment slip reference number
8026	Identification of pieces of a trade item (ITIP) contained in a logistic unit
8030	Digital Signature (DigSig)
8040	Internatinal Mobile Equipment Identity (IMEI)
8041	Internatinal Mobile Equipment Identity 2 (IMEI2)
8042	Embedded SIM number
8043	Physical SIM number
8110	Coupon code identification for use in North America
8111	Loyalty points of a coupon
8112	Positive offer file coupon code identification for use in North America
8200	Extended Packaging URL
90	Information mutually agreed between trading partners
91-99	Company internal information
